table,trip_id,route_id,agency_id,route_type,street_mode,vehicle_class,service_model,vehicle,fuel,infrastructure,operations,source
transit,,,,3,,,,8.0,72.0,4.0,8.0,"Dey, Marín-Flores & Tenkanen (2026), doi:10.1016/j.scs.2026.107226"
transit,,,,0,,,,2.0,12.0,11.0,0.0,"Dey, Marín-Flores & Tenkanen (2026), doi:10.1016/j.scs.2026.107226"
transit,,,,1,,,,2.0,12.0,11.0,0.0,"Dey, Marín-Flores & Tenkanen (2026), doi:10.1016/j.scs.2026.107226"
transit,,,,2,,,,2.0,12.0,11.0,0.0,"Dey, Marín-Flores & Tenkanen (2026), doi:10.1016/j.scs.2026.107226"
street,,,,,walk,on_foot,private,0.0,0.0,0.0,0.0,"Dey, Marín-Flores & Tenkanen (2026), doi:10.1016/j.scs.2026.107226"
street,,,,,wheelchair,manual,private,0.0,0.0,0.0,0.0,"Dey, Marín-Flores & Tenkanen (2026), doi:10.1016/j.scs.2026.107226"
street,,,,,bicycle,conventional,private,7.0,21.0,9.0,0.0,"Dey, Marín-Flores & Tenkanen (2026), doi:10.1016/j.scs.2026.107226"
street,,,,,bicycle,e_bike,private,13.0,3.0,9.0,0.0,"Dey, Marín-Flores & Tenkanen (2026), doi:10.1016/j.scs.2026.107226"
street,,,,,e_scooter,battery,private,26.0,1.0,9.0,0.0,"Dey, Marín-Flores & Tenkanen (2026), doi:10.1016/j.scs.2026.107226"
street,,,,,e_scooter,battery,shared,88.8,3.5,9.0,6.9,"Dey, Marín-Flores & Tenkanen (2026), doi:10.1016/j.scs.2026.107226"
street,,,,,car,ICE,private,24.0,126.0,12.0,0.0,"Dey, Marín-Flores & Tenkanen (2026), doi:10.1016/j.scs.2026.107226"
street,,,,,car,HEV,private,26.0,94.0,13.0,0.0,"Dey, Marín-Flores & Tenkanen (2026), doi:10.1016/j.scs.2026.107226"
street,,,,,car,PHEV,private,32.0,43.0,13.0,0.0,"Dey, Marín-Flores & Tenkanen (2026), doi:10.1016/j.scs.2026.107226"
street,,,,,car,BEV,private,42.0,16.0,12.0,0.0,"Dey, Marín-Flores & Tenkanen (2026), doi:10.1016/j.scs.2026.107226"
street,,,,,car,FCEV,private,38.0,83.0,13.0,0.0,"Dey, Marín-Flores & Tenkanen (2026), doi:10.1016/j.scs.2026.107226"
vehicle_class,,,,,,bus-ICE,,8.0,72.0,4.0,8.0,"Dey, Marín-Flores & Tenkanen (2026), doi:10.1016/j.scs.2026.107226"
vehicle_class,,,,,,bus-HEV,,8.0,53.0,4.0,6.0,"Dey, Marín-Flores & Tenkanen (2026), doi:10.1016/j.scs.2026.107226"
vehicle_class,,,,,,bus-BEV,,14.0,10.0,4.0,1.0,"Dey, Marín-Flores & Tenkanen (2026), doi:10.1016/j.scs.2026.107226"
vehicle_class,,,,,,bus-BEV-2packs,,17.0,10.0,4.0,1.0,"Dey, Marín-Flores & Tenkanen (2026), doi:10.1016/j.scs.2026.107226"
vehicle_class,,,,,,bus-FCEV,,11.0,44.0,4.0,5.0,"Dey, Marín-Flores & Tenkanen (2026), doi:10.1016/j.scs.2026.107226"
vehicle_class,,,,,,metro-urban-train,,2.0,12.0,11.0,0.0,"Dey, Marín-Flores & Tenkanen (2026), doi:10.1016/j.scs.2026.107226"
vehicle_class,,,,,,car-ICE,,24.0,126.0,12.0,0.0,"Dey, Marín-Flores & Tenkanen (2026), doi:10.1016/j.scs.2026.107226"
vehicle_class,,,,,,car-HEV,,26.0,94.0,13.0,0.0,"Dey, Marín-Flores & Tenkanen (2026), doi:10.1016/j.scs.2026.107226"
vehicle_class,,,,,,car-PHEV,,32.0,43.0,13.0,0.0,"Dey, Marín-Flores & Tenkanen (2026), doi:10.1016/j.scs.2026.107226"
vehicle_class,,,,,,car-BEV,,42.0,16.0,12.0,0.0,"Dey, Marín-Flores & Tenkanen (2026), doi:10.1016/j.scs.2026.107226"
vehicle_class,,,,,,car-FCEV,,38.0,83.0,13.0,0.0,"Dey, Marín-Flores & Tenkanen (2026), doi:10.1016/j.scs.2026.107226"
